,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
171,12.0,10.0,10.0,16.0,11.0,22.0,34400
172,12.0,11.0,13.0,31.0,27.0,13.0,34600
173,14.0,16.0,15.0,9.0,12.0,10.0,34800
174,9.0,21.0,14.0,9.0,12.0,14.0,35000
175,11.0,21.0,10.0,16.0,25.0,10.0,35200
176,10.0,10.0,11.0,13.0,18.0,14.0,35400
177,11.0,10.0,14.0,24.0,14.0,25.0,35600
178,18.0,14.0,11.0,8.0,10.0,15.0,35800
179,9.0,16.0,10.0,10.0,9.0,10.0,36000
180,12.0,14.0,14.0,11.0,16.0,10.0,36200
181,17.0,13.0,10.0,11.0,10.0,16.0,36400
182,15.0,10.0,20.0,12.0,11.0,21.0,36600
183,13.0,11.0,16.0,16.0,19.0,33.0,36800
184,17.0,12.0,16.0,15.0,14.0,13.0,37000
185,19.0,10.0,21.0,10.0,16.0,14.0,37200
186,17.0,11.0,11.0,9.0,13.0,11.0,37400
187,20.0,25.0,16.0,11.0,21.0,16.0,37600
188,14.0,39.0,12.0,12.0,19.0,14.0,37800
189,11.0,10.0,13.0,10.0,12.0,41.0,38000
190,18.0,19.0,13.0,18.0,12.0,14.0,38200
191,17.0,11.0,19.0,17.0,12.0,15.0,38400
192,16.0,12.0,9.0,14.0,12.0,13.0,38600
193,26.0,10.0,18.0,12.0,20.0,9.0,38800
194,14.0,13.0,15.0,9.0,10.0,9.0,39000
195,10.0,16.0,9.0,13.0,13.0,15.0,39200
196,21.0,10.0,12.0,29.0,9.0,16.0,39400
197,14.0,15.0,8.0,11.0,18.0,18.0,39600
198,9.0,13.0,12.0,16.0,19.0,15.0,39800
199,9.0,12.0,12.0,13.0,15.0,10.0,40000
200,10.0,27.0,21.0,8.0,16.0,20.0,40200
201,27.0,17.0,9.0,10.0,10.0,14.0,40400
202,11.0,11.0,20.0,13.0,9.0,18.0,40600
203,19.0,15.0,18.0,8.0,13.0,20.0,40800
204,13.0,14.0,12.0,10.0,15.0,9.0,41000
205,11.0,12.0,12.0,11.0,16.0,11.0,41200
206,10.0,15.0,19.0,22.0,26.0,13.0,41400
207,14.0,15.0,14.0,9.0,18.0,10.0,41600
208,15.0,12.0,52.0,8.0,12.0,16.0,41800
209,24.0,11.0,16.0,12.0,11.0,10.0,42000
210,10.0,9.0,13.0,12.0,14.0,9.0,42200
211,13.0,23.0,12.0,10.0,10.0,25.0,42400
212,11.0,17.0,12.0,12.0,20.0,10.0,42600
213,14.0,16.0,11.0,12.0,12.0,10.0,42800
214,10.0,10.0,10.0,18.0,13.0,21.0,43000
215,10.0,14.0,13.0,12.0,13.0,10.0,43200
216,11.0,19.0,9.0,11.0,13.0,8.0,43400
217,11.0,9.0,12.0,10.0,10.0,19.0,43600
218,14.0,24.0,11.0,9.0,11.0,11.0,43800
219,21.0,11.0,17.0,13.0,12.0,15.0,44000
220,10.0,22.0,11.0,14.0,10.0,12.0,44200
221,26.0,14.0,30.0,11.0,13.0,11.0,44400
222,18.0,9.0,19.0,14.0,13.0,16.0,44600
223,10.0,16.0,14.0,12.0,18.0,19.0,44800
224,16.0,16.0,17.0,17.0,9.0,12.0,45000
